# CSV of Table 1 from Asplund et al. (2009), 10.1146/annurev.astro.46.060407.145222, WIP
# alpha_element = log_10(N_element / N_H) + 12
Z,element,alpha_phot,alpha_phot_err,alpha_meteorite,alpha_meteorite_err
1,H,12,-,8.22,0.04
2,He,10.93,0.01,1.29,-
3,Li,1.05,0.1,3.26,0.05
4,Be,1.38,0.09,1.3,0.03
5,B,2.7,0.2,2.79,0.04
6,C,8.43,0.05,7.39,0.04
7,N,7.83,0.05,6.26,0.06
8,O,8.69,0.05,8.4,0.04
9,F,4.56,0.3,4.42,0.06
10,Ne,7.93,0.1,-1.12,-
11,Na,6.24,0.04,6.27,0.02
12,Mg,7.6,0.04,7.53,0.01
13,Al,6.45,0.03,6.43,0.01
14,Si,7.51,0.03,7.51,0.01
15,P,5.41,0.03,5.43,0.04
16,S,7.12,0.03,7.15,0.02
17,Cl,5.5,0.3,5.23,0.06
18,Ar,6.4,0.13,-0.5,-
19,K,5.03,0.09,5.08,0.02
20,Ca,6.34,0.04,6.29,0.02
21,Sc,3.15,0.04,3.05,0.02
22,Ti,4.95,0.05,4.91,0.03
23,V,3.93,0.08,3.96,0.02
24,Cr,5.64,0.04,5.64,0.01
25,Mn,5.43,0.04,5.48,0.01
26,Fe,7.5,0.04,7.45,0.01
27,Co,4.99,0.07,4.87,0.01
28,Ni,6.22,0.04,6.2,0.01
29,Cu,4.19,0.04,4.25,0.04
30,Zn,4.56,0.05,4.63,0.04
31,Ga,3.04,0.09,3.08,0.02
32,Ge,3.65,0.1,3.58,0.04
33,As,,,2.3,0.04
34,Se,,,3.34,0.03
35,Br,,,2.54,0.06
36,Kr,3.25,0.06,-2.27,-
37,Rb,2.52,0.1,2.36,0.03
38,Sr,2.87,0.07,2.88,0.03
39,Y,2.21,0.05,2.17,0.04
40,Zr,2.58,0.04,2.53,0.04
41,Nb,1.46,0.04,1.41,0.04
42,Mo,1.88,0.08,1.94,0.04
44,Ru,1.75,0.08,1.76,0.03
45,Rh,0.91,0.1,1.06,0.04
46,Pd,1.57,0.1,1.65,0.02
47,Ag,0.94,0.1,1.2,0.02
48,Cd,,,1.71,0.03
49,In,0.8,0.2,0.76,0.03
50,Sn,2.04,0.1,2.07,0.06
51,Sb,,,1.01,0.06
52,Te,,,2.18,0.03
53,I,,,1.55,0.08
54,Xe,2.24,0.06,-1.95,-
55,Cs,,,1.08,0.02
56,Ba,2.18,0.09,2.18,0.03
57,La,1.1,0.04,1.17,0.02
58,Ce,1.58,0.04,1.58,0.02
59,Pr,0.72,0.04,0.76,0.03
60,Nd,1.42,0.04,1.45,0.02
62,Sm,0.96,0.04,0.94,0.02
63,Eu,0.52,0.04,0.51,0.02
64,Gd,1.07,0.04,1.05,0.02
65,Tb,0.3,0.1,0.32,0.03
66,Dy,1.1,0.04,1.13,0.02
67,Ho,0.48,0.11,0.47,0.03
68,Er,0.92,0.05,0.92,0.02
69,Tm,0.1,0.04,0.12,0.03
70,Yb,0.84,0.11,0.92,0.02
71,Lu,0.1,0.09,0.09,0.02
72,Hf,0.85,0.04,0.71,0.02
73,Ta,,,-0.12,0.04
74,W,0.85,0.12,0.65,0.04
75,Re,,,0.26,0.04
76,Os,1.4,0.08,1.35,0.03
77,Ir,1.38,0.07,1.32,0.02
78,Pt,,,1.62,0.03
79,Au,0.92,0.1,0.8,0.04
80,Hg,,,1.17,0.08
81,Tl,0.9,0.2,0.77,0.03
82,Pb,1.75,0.1,2.04,0.03
83,Bi,,,0.65,0.04
90,Th,0.02,0.1,0.06,0.03
92,U,,,-0.54,0.03
