Z,element,x_to_H,x_to_H_err
1,H,1.0,-
2,He,0.08511380382023759,0.0019598177588449877
3,Li,1.1220184543019653e-11,2.5835429669399265e-12
4,Be,2.398832919019485e-11,4.9711652279258935e-12
5,B,5.011872336272714e-10,2.3080525058981593e-10
6,C,0.0002691534803926914,0.000030987439583983824
7,N,0.00006760829753919819,7.783692903823189e-6
8,O,0.0004897788193684457,0.00005638787041710033
9,F,3.63078054770101e-8,2.5080543495207312e-8
10,Ne,0.0000851138038202376,0.000019598177588449877
11,Na,1.7378008287493763e-6,1.600573713148405e-7
12,Mg,0.000039810717055349695,3.666702545322081e-6
13,Al,2.818382931264455e-6,1.9468699571635192e-7
14,Si,0.00003235936569296281,2.2353057919007733e-6
15,P,2.570395782768865e-7,1.7755665037495048e-8
16,S,0.000013182567385564074,9.1061949448168e-7
17,Cl,3.162277660168379e-7,2.1844240200635404e-7
18,Ar,2.5118864315095823e-6,7.518981928234365e-7
19,K,1.0715193052376071e-7,2.220537941185906e-8
20,Ca,2.1877616239495517e-6,2.0150029209322736e-7
21,Sc,1.4125375446227555e-9,1.3009951574171076e-10
22,Ti,8.912509381337459e-8,1.0260905621318611e-8
23,V,8.511380382023759e-9,1.56785420707599e-9
24,Cr,4.3651583224016567e-7,4.020459392688381e-8
25,Mn,2.691534803926914e-7,2.4789951667187057e-8
26,Fe,0.000031622776601683795,2.912565360084721e-6
27,Co,9.772372209558111e-8,1.5751203001042458e-8
28,Ni,1.6595869074375596e-6,1.5285360294375258e-7
29,Cu,1.5488166189124828e-8,1.426512823395729e-9
30,Zn,3.63078054770101e-8,4.180090582534552e-9
31,Ga,1.0964781961431829e-9,2.272260914309065e-10
32,Ge,4.466835921509635e-9,1.0285269805718409e-9
33,As,-,-
34,Se,-,-
35,Br,-,-
36,Kr,1.7782794100389228e-9,2.4567837964403223e-10
37,Rb,3.3113112148259076e-10,7.62457584152214e-11
38,Sr,7.413102413009192e-10,1.194850937632321e-10
39,Y,1.621810097358933e-10,1.867177876922951e-11
40,Zr,3.801893963205613e-10,3.501673745928519e-11
41,Nb,2.8840315031266117e-11,2.656291178729819e-12
42,Mo,7.58577575029182e-11,1.3973515329134136e-11
44,Ru,5.6234132519034906e-11,1.0358710020462518e-11
45,Rh,8.128305161640995e-12,1.8716114296501117e-12
46,Pd,3.7153522909717275e-11,8.554914800412777e-12
47,Ag,8.709635899560796e-12,2.0054677787734476e-12
48,Cd,-,-
49,In,6.309573444801943e-12,2.905665951430409e-12
50,Sn,1.0964781961431829e-10,2.5247343492322945e-11
51,Sb,-,-
52,Te,-,-
53,I,-,-
54,Xe,1.7378008287493763e-10,2.4008605697226075e-11
55,Cs,-,-
56,Ba,1.5135612484362072e-10,3.136593211184401e-11
57,La,1.2589254117941662e-11,1.159513154555455e-12
58,Ce,3.801893963205613e-11,3.5016737459285194e-12
59,Pr,5.248074602497734e-12,4.833655338652774e-13
60,Nd,2.6302679918953815e-11,2.422566347487075e-12
62,Sm,9.120108393559116e-12,8.399930253399638e-13
63,Eu,3.3113112148259077e-12,3.049830336608856e-13
64,Gd,1.1748975549395303e-11,1.0821206383195664e-12
65,Tb,1.9952623149688827e-12,4.594261263060142e-13
66,Dy,1.2589254117941662e-11,1.159513154555455e-12
67,Ho,3.0199517204020193e-12,7.649065394255353e-13
68,Er,8.317637711026709e-12,9.576034301167608e-13
69,Tm,1.258925411794166e-12,1.159513154555455e-13
70,Yb,6.918309709189362e-12,1.7522996485604938e-12
71,Lu,1.258925411794166e-12,2.608904597749774e-13
72,Hf,7.079457843841373e-12,6.520421639083566e-13
73,Ta,-,-
74,W,7.079457843841373e-12,1.95612649172507e-12
75,Re,-,-
76,Os,2.5118864315095823e-11,4.6270658019903795e-12
77,Ir,2.398832919019485e-11,3.866461843942362e-12
78,Pt,-,-
79,Au,8.317637711026709e-12,1.9152068602335216e-12
80,Hg,-,-
81,Tl,7.943282347242821e-12,3.658016704440815e-12
82,Pb,5.6234132519034906e-11,1.294838752557815e-11
83,Bi,-,-
90,Th,1.0471285480508985e-12,2.4111025851904984e-13
92,U,-,-
